ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000016.SH,20260109,3134.3245,3121.1593,3146.7283,3112.4579,3122.0627,12.2618,0.3927,60149277.0,177739531.505
000016.SH,20260108,3122.0627,3137.8099,3142.8462,3107.0181,3145.1197,-23.057,-0.7331,53427374.0,187896245.567
000016.SH,20260107,3145.1197,3162.0215,3162.4444,3132.2315,3158.7632,-13.6435,-0.4319,52139422.0,169306826.046
000016.SH,20260106,3158.7632,3106.5201,3158.7632,3106.0869,3099.7462,59.017,1.9039,57494272.0,180047553.077
000016.SH,20260105,3099.7462,3052.1289,3105.4032,3052.1289,3031.1258,68.6204,2.2639,53501398.0,169562421.271
000016.SH,20251231,3031.1258,3038.6015,3051.4304,3026.4869,3036.5523,-5.4265,-0.1787,37358980.0,107667577.641
000016.SH,20251230,3036.5523,3023.3211,3049.3229,3022.2774,3034.6347,1.9176,0.0632,38538285.0,113175138.178
000016.SH,20251229,3034.6347,3048.9785,3057.3637,3030.3786,3045.4036,-10.7689,-0.3536,43153415.0,117119941.605
000016.SH,20251226,3045.4036,3032.4669,3057.9481,3031.2602,3032.8414,12.5622,0.4142,34100689.0,100917255.09
000016.SH,20251225,3032.8414,3020.9075,3039.5391,3018.5826,3025.1839,7.6575,0.2531,28270647.0,82075769.824
000016.SH,20251224,3025.1839,3028.3742,3032.01,3012.199,3027.5195,-2.3356,-0.0771,31799441.0,91264188.766
000016.SH,20251223,3027.5195,3023.9109,3041.6682,3019.6099,3020.2285,7.291,0.2414,35889709.0,110469786.049
